"Devengado";"Económico Nivel 1";"Económico Nivel 2";"Económico Nivel 4";"Económico Nivel 3";"Económico Nivel Operativo";"Clasificación Económica Gasto"
"0";"GASTOS";"Gastos Corrientes";"Al Sector Externo";"Transferencias Corrientes";"A gobiernos extranjeros";"Transferencias Corrientes"
"2388996.98";"GASTOS";"Gastos Corrientes";"Al Sector Externo";"Transferencias Corrientes";"A organismos e instituciones internacionales";"Transferencias Corrientes"
"2534580.17";"GASTOS";"Gastos Corrientes";"Al Sector Externo";"Transferencias Corrientes";"A organismos regionales";"Transferencias Corrientes"
"25794026.35";"GASTOS";"Gastos Corrientes";"Al Sector Privado";"Transferencias Corrientes";"Directas a personas";"Transferencias Corrientes"
"495035081.07";"GASTOS";"Gastos Corrientes";"Al Sector Privado";"Transferencias Corrientes";"A entidades sin fines de lucro";"Transferencias Corrientes"
"750000";"GASTOS";"Gastos Corrientes";"Al Sector Privado";"Transferencias Corrientes";"A empresas privadas";"Transferencias Corrientes"
"544772642.88";"GASTOS";"Gastos Corrientes";"Al Sector Publico";"Transferencias Corrientes";"A entidades descentralizadas y autónomas no financieras";"Transferencias Corrientes"
"816877375";"GASTOS";"Gastos Corrientes";"Al Sector Publico";"Transferencias Corrientes";"A la Administración Central";"Transferencias Corrientes"
"2824000";"GASTOS";"Gastos Corrientes";"Al Sector Publico";"Transferencias Corrientes";"A municipalidades";"Transferencias Corrientes"
"5082031";"GASTOS";"Gastos Corrientes";"Al Sector Publico";"Transferencias Corrientes";"A empresas públicas no financieras";"Transferencias Corrientes"
"0";"GASTOS";"Gastos Corrientes";"Arrendamiento de Tierras y Terrenos";"Rentas de la Propiedad";"Arrendamiento de Tierras y Terrenos";"Arrendamiento de Tierras y Terrenos"
"524092556.08";"GASTOS";"Gastos Corrientes";"Bienes y servicios";"Gastos de Consumo";"Servicios no personales";"Bienes y Servicios"
"425797.29";"GASTOS";"Gastos Corrientes";"Bienes y servicios";"Gastos de Consumo";"Servicios no personales";"Externa"
"9567522.86";"GASTOS";"Gastos Corrientes";"Bienes y servicios";"Gastos de Consumo";"Servicios no personales";"Interna"
"163279087.65";"GASTOS";"Gastos Corrientes";"Bienes y servicios";"Gastos de Consumo";"Materiales y suministros";"Bienes y Servicios"
"0";"GASTOS";"Gastos Corrientes";"Bienes y servicios";"Gastos de Consumo";"Equipos militares";"Bienes y Servicios"
"921667.52";"GASTOS";"Gastos Corrientes";"Derechos sobre Bienes Intangibles";"Rentas de la Propiedad";"Derechos sobre Bienes Intangibles";"Derechos sobre Bienes Intangibles"
"0";"GASTOS";"Gastos Corrientes";"Descuentos y Bonificaciones";"Gastos de Consumo";"Descuentos y Bonificaciones";"Descuentos y Bonificaciones"
"346258.03";"GASTOS";"Gastos Corrientes";"Impuestos Indirectos";"Gastos de Consumo";"Impuestos Indirectos";"Impuestos Indirectos"
"485896323.02";"GASTOS";"Gastos Corrientes";"Intereses";"Rentas de la Propiedad";"Intereses de la deuda interna a corto y largo plazo";"Interna"
"127906877.92";"GASTOS";"Gastos Corrientes";"Intereses";"Rentas de la Propiedad";"Intereses por deuda externa a corto y largo plazo";"Externa"
"249783602.16";"GASTOS";"Gastos Corrientes";"Intereses";"Rentas de la Propiedad";"Intereses por prestamos del sector externo";"Externa"
"778511716.46";"GASTOS";"Gastos Corrientes";"Prestaciones de la Seguridad Social";"Prestaciones de la Seguridad Social";"Prestaciones de la Seguridad Social";"Prestaciones de la Seguridad Social"
"5606451.31";"GASTOS";"Gastos Corrientes";"Remuneraciones";"Gastos de Consumo";"Dietas y gastos de representacion";"Remuneraciones"
"699249554.24";"GASTOS";"Gastos Corrientes";"Remuneraciones";"Gastos de Consumo";"Otras prestaciones relacionas con salarios";"Remuneraciones"
"2968663931.33";"GASTOS";"Gastos Corrientes";"Remuneraciones";"Gastos de Consumo";"Sueldos y salarios";"Remuneraciones"
"97965594.22";"GASTOS";"Gastos Corrientes";"Remuneraciones";"Gastos de Consumo";"Aportes patronales";"Remuneraciones"
"0";"GASTOS";"Aplicaciones Financieras";"Amortización de Deuda Interna a Largo Plazo";"Amortización de la Deuda y Disminución de Otros Pasivos";"Amortización de Deuda Interna a Largo Plazo";"Amortización Costo de Pol. Monetaria"
"893692.94";"GASTOS";"Aplicaciones Financieras";"Amortización de Deuda Interna a Largo Plazo";"Amortización de la Deuda y Disminución de Otros Pasivos";"Amortización de Deuda Interna a Largo Plazo";"Amortización de Prima Deuda Interna"
"29095405.02";"GASTOS";"Aplicaciones Financieras";"Amortización de Préstamos de Largo Plazo";"Amortización de la Deuda y Disminución de Otros Pasivos";"De gobiernos extranjeros";"Amortizaciones"
"403959775.75";"GASTOS";"Aplicaciones Financieras";"Amortización de Préstamos de Largo Plazo";"Amortización de la Deuda y Disminución de Otros Pasivos";"De organismos e instituciones regionales e internacionales";"Amortizaciones"
"0";"GASTOS";"Gastos de Capital";"Activos Intangibles";"Inversion Real Directa";"Activos Intangibles";"Inversión Real Directa"
"0";"GASTOS";"Gastos de Capital";"Al Sector Privado";"Transferencias de Capital";"A empresas privadas";"Transferencias de Capital"
"0";"GASTOS";"Gastos de Capital";"Al Sector Privado";"Transferencias de Capital";"A personas y unidades familiares";"Transferencias de Capital"
"0";"GASTOS";"Gastos de Capital";"Al Sector Privado";"Transferencias de Capital";"A instituciones sin fines de lucro";"Transferencias de Capital"
"3392229.29";"GASTOS";"Gastos de Capital";"Al Sector Privado";"Transferencias de Capital";"A cooperativas";"Transferencias de Capital"
"26592666";"GASTOS";"Gastos de Capital";"Al Sector Publico";"Transferencias de Capital";"A entidades descentralizadas y autónomas no financieras";"Transferencias de Capital"
"5271351.98";"GASTOS";"Gastos de Capital";"Al Sector Publico";"Transferencias de Capital";"A los Consejos de Desarrollo Urbano y Rural";"Transferencias de Capital"
"5000000";"GASTOS";"Gastos de Capital";"Al Sector Publico";"Transferencias de Capital";"A la Administración Central";"Transferencias de Capital"
"1700222918.88";"GASTOS";"Gastos de Capital";"Al Sector Publico";"Transferencias de Capital";"A municipalidades";"Transferencias de Capital"
"0";"GASTOS";"Gastos de Capital";"Concesión de Préstamos de Largo Plazo";"Inversion Financiera";"Al sector privado";"Inversión Financiera"
"0";"GASTOS";"Gastos de Capital";"Formacion Bruta de Capital Fijo";"Inversion Real Directa";"Servicios no personales";"Inversión Real Directa"
"27287316.91";"GASTOS";"Gastos de Capital";"Formacion Bruta de Capital Fijo";"Inversion Real Directa";"Maquinaria, equipo y otros bienes muebles";"Inversión Real Directa"
"47741679.22";"GASTOS";"Gastos de Capital";"Formacion Bruta de Capital Fijo";"Inversion Real Directa";"Constr. de bienes nac. de uso comun";"Inversión Real Directa"
"3054252.91";"GASTOS";"Gastos de Capital";"Formacion Bruta de Capital Fijo";"Inversion Real Directa";"Constr. de bienes nac. de uso no comun";"Inversión Real Directa"
"0";"GASTOS";"Gastos de Capital";"Tierras y Terrenos";"Inversion Real Directa";"Tierras y Terrenos";"Inversión Real Directa"
